split,epoch,version,samples,accuracy,loss,step1_mean,step1_zero_fraction,step1_inactive_neurons,step2_mean,step2_zero_fraction,step2_inactive_neurons,step3_mean,step3_zero_fraction,step3_inactive_neurons
train,0,0,704,0.3338068181818182,1.107020616531372,0.028317635878920555,0.24785511363636364,1,0.007473487872630358,0.3130113636363636,15,0.0039912378415465355,0.12451704545454545,0
train,1,11,704,0.3338068181818182,1.100359559059143,0.035114675760269165,0.27987215909090907,1,0.029410701245069504,0.1846875,3,0.029610075056552887,0.08964488636363636,2
train,2,22,704,0.41761363636363635,1.0847883224487305,0.05117480084300041,0.23944602272727272,4,0.06904363632202148,0.16507102272727273,4,0.10190386325120926,0.042002840909090906,0
train,3,33,704,0.5923295454545454,1.0606915950775146,0.06650333851575851,0.20025568181818182,8,0.11514702439308167,0.17714488636363637,3,0.21440254151821136,0.0328125,0
train,4,44,704,0.5213068181818182,1.036527156829834,0.0755019560456276,0.20801136363636363,6,0.1474142074584961,0.21475852272727272,4,0.32074710726737976,0.04032670454545455,0
train,5,55,704,0.5113636363636364,1.0103462934494019,0.0757983848452568,0.21703125,6,0.1403164565563202,0.26413352272727275,5,0.32339349389076233,0.07005681818181818,0
train,6,66,704,0.53125,0.9852221012115479,0.07437487691640854,0.2572301136363636,6,0.13006943464279175,0.32014204545454544,3,0.30594444274902344,0.15404829545454546,0
train,7,77,704,0.5710227272727273,0.9589023590087891,0.08011015504598618,0.25328125,5,0.1478658765554428,0.3273011363636364,7,0.37783363461494446,0.17400568181818182,0
train,8,88,704,0.6278409090909091,0.9273788928985596,0.0846639946103096,0.2512926136363636,5,0.1518242508172989,0.3338352272727273,8,0.3987901508808136,0.15620738636363637,0
train,9,99,704,0.6122159090909091,0.8901281356811523,0.09260459989309311,0.2426278409090909,4,0.15979011356830597,0.34639204545454544,8,0.42930465936660767,0.13887784090909092,0
train,10,110,704,0.6221590909090909,0.8448690176010132,0.1035580262541771,0.23789772727272726,5,0.1998520940542221,0.3198011363636364,8,0.5579835772514343,0.1345028409090909,0
train,11,121,704,0.625,0.7968946099281311,0.11575699597597122,0.2227840909090909,3,0.23056471347808838,0.3212073863636364,8,0.6563252210617065,0.1367471590909091,2
train,12,132,704,0.6178977272727273,0.7562621831893921,0.1272653043270111,0.21383522727272727,3,0.2561342418193817,0.3305965909090909,8,0.7503001689910889,0.1339630681818182,2
train,13,143,704,0.6292613636363636,0.7214336395263672,0.1382967084646225,0.20904829545454545,3,0.2911570072174072,0.3254971590909091,7,0.8769671320915222,0.12941761363636364,4
train,14,154,704,0.6519886363636364,0.6948858499526978,0.14670835435390472,0.20738636363636365,2,0.3301791250705719,0.31208806818181817,5,1.0181517601013184,0.12254261363636364,4
train,15,165,704,0.65625,0.6667574644088745,0.15213122963905334,0.20643465909090908,2,0.3293764591217041,0.33061079545454547,7,1.0066553354263306,0.12265625,4
train,16,176,704,0.6747159090909091,0.6416780352592468,0.15837432444095612,0.20734375,2,0.3538844883441925,0.32477272727272727,6,1.0999780893325806,0.11122159090909091,4
train,17,187,704,0.7017045454545454,0.607154130935669,0.16492539644241333,0.20538352272727273,1,0.37393316626548767,0.32823863636363637,7,1.1949567794799805,0.10588068181818182,4
train,18,198,704,0.7386363636363636,0.5737119913101196,0.17089468240737915,0.20514204545454545,1,0.3956083357334137,0.32519886363636363,5,1.2824795246124268,0.1015625,3
train,19,209,704,0.7826704545454546,0.5382146239280701,0.17857226729393005,0.2029403409090909,1,0.41506052017211914,0.3273721590909091,6,1.3604514598846436,0.09823863636363636,3
train,20,220,704,0.7897727272727273,0.5081968903541565,0.184459388256073,0.20505681818181817,1,0.42001137137413025,0.34029829545454543,6,1.3792972564697266,0.095,3
train,21,231,704,0.828125,0.4621855616569519,0.19195778667926788,0.20352272727272727,1,0.45253410935401917,0.333125,5,1.5532633066177368,0.08965909090909091,3
train,22,242,704,0.859375,0.4206456243991852,0.1989268958568573,0.20103693181818183,1,0.46840181946754456,0.34045454545454545,5,1.6247236728668213,0.08625,3
train,23,253,704,0.9133522727272727,0.3821412920951843,0.20602339506149292,0.20073863636363637,1,0.49349305033683777,0.33703125,4,1.7317085266113281,0.08559659090909091,3
train,24,264,704,0.9275568181818182,0.35696670413017273,0.2150767594575882,0.1976278409090909,1,0.5427777767181396,0.3205113636363636,4,1.9627273082733154,0.08681818181818182,3
train,25,275,704,0.9232954545454546,0.31332719326019287,0.22112151980400085,0.1984375,1,0.5317190885543823,0.34107954545454544,5,1.9066507816314697,0.08501420454545454,3
train,26,286,704,0.9346590909090909,0.2789292633533478,0.22761598229408264,0.19688920454545455,1,0.5566724538803101,0.33921875,5,2.0517406463623047,0.08100852272727273,3
