split,index,root_id,role,active_fraction,mean,eta_squared,class0_mean,class1_mean,class2_mean
train,0,720575940634545890,input,1.0,5.50690046384592,0.18579716976468144,5.255108677423918,6.9243934466483745,4.34012781305516
train,1,720575940609282825,input,1.0,6.68706488922577,0.08501272794885725,6.83794741345267,7.549378564763576,5.674510742755646
train,2,720575940605758142,input,1.0,7.38624336832965,0.3712489758306241,5.064351160302121,10.061597312764919,7.022901239547323
train,3,720575940633294796,input,0.875,2.814427061006427,0.004110003309804839,2.8820760453868117,2.6685151680986934,2.8929778375524156
train,4,720575940640803200,input,0.8508522727272727,2.2925718825532715,0.00560147304337716,2.4495259513202896,2.230976265763983,2.1978813202298704
train,5,720575940630407388,input,1.0,7.825651926665821,0.10883713940913037,6.959838483068678,9.503405213609655,7.010027770793184
train,6,720575940632403986,input,0.9346590909090909,2.9823097640817817,0.08048877321864344,2.2761898952671604,3.187632902632368,3.4801017289466047
train,7,720575940621551854,input,1.0,12.194978230378844,0.37643824445641766,8.537379315775684,16.64351958822697,11.388471536433443
train,8,720575940623146701,input,1.0,15.820717122575099,0.4018767543100095,10.77410080901578,22.406846034273187,14.259729561399906
train,9,720575940623636701,input,1.0,7.286785935729065,0.38166692083614406,4.822625529052865,10.390257230718085,6.636989258451664
train,10,720575940632835688,internal,0.9701704545454546,8.00243712830442,0.15568920973954498,6.875621725351382,10.4742115869167,6.652683113483673
train,11,720575940637136752,internal,1.0,10.946997653862292,0.36854346441393415,7.86183302422874,14.742939750184403,10.223091827047632
train,12,720575940631907159,internal,1.0,9.569111952219497,0.3092369077020162,7.059927767158573,12.909597108719197,8.727133601269824
train,13,720575940613804259,internal,1.0,8.780892147936605,0.361840413260379,6.022312311025766,11.882078797766503,8.426546697413668
train,14,720575940616758322,internal,1.0,9.757096879353577,0.3624128560491521,7.003142212191198,13.227187931791265,9.02924153804779
train,15,720575940646576436,internal,0.8394886363636364,2.196971745822917,0.09496061727034161,1.8001301429974728,1.87987987893693,2.9092165278627515
train,16,720575940628059978,internal,0.84375,1.5742497553689068,0.00951608162747686,1.4082739496141927,1.7031634896359544,1.6106055468320846
train,17,720575940624435128,internal,0.8863636363636364,2.745612470030954,0.011949743882589695,2.463306305754898,2.8588236269164593,2.913506174594798
train,18,720575940614956072,internal,1.0,8.514465763656931,0.36788244761900785,5.901976535462926,11.816781944924212,7.81352183514453
train,19,720575940623650823,internal,0.8494318181818182,1.5519499023529617,0.13569240732238638,1.5283775460771007,1.145308577760737,1.982063275322001
train,20,720575940623955637,internal,1.0,7.549130775203759,0.21191989979279738,6.825969149923732,9.226359803625877,6.591986088549837
train,21,720575940660217985,internal,1.0,6.606306714683094,0.21207162833627125,6.014054944372584,8.138781533342726,5.663563446034776
train,22,720575940605883569,internal,1.0,6.32064678621563,0.08223675429275891,6.272770581082401,7.228487588496918,5.46047846053509
train,23,720575940608345778,internal,1.0,9.367952313274145,0.3761659054118197,6.473169889205542,12.886864840730707,8.731503986805043
train,24,720575940626115134,internal,1.0,7.804232752289284,0.3174955803494632,5.854933510478745,10.119113398612814,7.430356457385611
train,25,720575940612637554,internal,0.9019886363636364,3.4674731143326922,0.00205092335630454,3.3415581161140375,3.542275626608666,3.518049791772315
train,26,720575940637623780,internal,0.6306818181818182,0.792517451273108,0.0820549350392223,0.6918124736756341,0.5849975776799181,1.1003137706442083
train,27,720575940625584484,internal,1.0,9.39618832228536,0.27117433557549675,7.22995084269434,12.326975654033903,8.622420438299788
train,28,720575940617299131,internal,1.0,9.96699236003174,0.26450909187480165,7.699527885159876,13.011807224598337,9.179993185337553
train,29,720575940621585279,internal,1.0,6.265360119159926,0.23257471619617873,4.548743792069264,7.844947187951271,6.395084627131198
train,30,720575940624832743,internal,1.0,5.140793970235708,0.13215372785410207,4.199709617174589,6.167476895007681,5.051190784256509
train,31,720575940616197819,internal,0.9644886363636364,5.16017128772695,0.07075291804814976,4.239185366875086,5.811358400101358,5.426051007179503
train,32,720575940619059102,internal,0.8948863636363636,3.7363560792503203,0.07431049519962593,3.187965753750923,3.4395752666161417,4.579193641530707
train,33,720575940630225403,internal,1.0,5.884849494450133,0.216240457265273,4.42939698899913,7.522917577053638,5.696040502380818
train,34,720575940628822248,internal,1.0,5.613665258427235,0.3787682841097377,3.9666013534252462,8.053027654201426,4.814357985080557
train,35,720575940619078091,internal,0.9431818181818182,2.683993906354193,0.014660651009136912,2.465842552164681,2.879774207637665,2.705436655625384
train,36,720575940633741229,internal,0.0,0.0,0.0,0.0,0.0,0.0
train,37,720575940628420264,internal,0.0,0.0,0.0,0.0,0.0,0.0
train,38,720575940606722249,internal,1.0,6.680082890035754,0.14615780907626785,5.245327619405893,7.889320527746322,6.8994951813778975
train,39,720575940622650879,internal,1.0,8.898396547248757,0.3020897070897005,6.819258938487779,12.033955996087258,7.8331273130914
train,40,720575940632505359,internal,0.9588068181818182,4.3533802854601,0.10204658716275815,4.971370241580865,4.591648174608324,3.4997521846852404
train,41,720575940625977802,internal,1.0,4.984463391402229,0.13209585732906573,4.968630163078634,5.914366144322335,4.070326491366042
train,42,720575940624330281,internal,1.0,8.696702142330734,0.3832821207537897,5.818855425231477,11.691065317519168,8.567939527998579
train,43,720575940627349860,internal,1.0,7.069113290106708,0.34121913483040517,5.145966132481893,8.809398612570256,7.243791520341913
train,44,720575940621542747,internal,0.3338068181818182,0.08626812507017431,0.04569586178577089,0.037321075510520205,0.09907794265036887,0.12219707173235873
train,45,720575940640415859,internal,1.0,6.437438481825996,0.22764938020288664,4.6991519958545,8.295009442593189,6.310757043260209
train,46,720575940640986075,internal,1.0,4.002365545369685,0.06379002288424047,3.461222096386119,4.633898256750817,3.909673544891337
train,47,720575940651758838,internal,1.0,5.789367635734379,0.37571512418053593,3.9888574903846807,8.039734432545114,5.331849238973983
train,48,720575940631683927,internal,0.8778409090909091,2.220780277645893,0.04747200390478807,2.551061985329685,2.293715563416481,1.8189687382667623
train,49,720575940629792732,internal,1.0,9.593444660475308,0.17314174699586915,8.0222480867663,11.827286154158571,8.924113797634206
train,50,720575940634303132,internal,0.9545454545454546,5.545083245072006,0.12021987888132703,5.950141119141864,6.486681101613857,4.200151164988254
train,51,720575940616486230,internal,0.34375,0.15483759972266853,0.19389448297113196,0.18930596485733986,0.0004043864442947063,0.27494912176056113
train,52,720575940615513086,internal,0.9545454545454546,3.4705453807043587,0.1600619841798821,2.7150568437372518,4.55593121276891,3.137433240768757
train,53,720575940631704716,internal,0.08806818181818182,0.021986444930503654,0.08440057825135278,0.0,0.055100474078604515,0.01076530137277664
train,54,720575940622457443,internal,0.8551136363636364,0.9749144905019255,0.17082209153759004,0.44857383981092364,1.3105202648550907,1.1634096193900134
train,55,720575940619061662,internal,0.796875,1.817716017788784,0.15526408054088733,1.4061164528640926,2.683001632893339,1.3622784800986025
train,56,720575940640955637,internal,0.21875,0.1398105804004114,0.2386202565825905,0.04161219263815472,0.0,0.37740168308324
train,57,720575940635249332,internal,1.0,12.126228499310939,0.2835602777890714,9.119358667960533,16.162165475398936,11.08436616380164
train,58,720575940634949311,internal,1.0,9.230972095477311,0.27265970415125146,6.595996890312586,11.84313879215971,9.242567943512125
train,59,720575940625585508,internal,1.0,13.180833528326316,0.3810749998162043,9.141501846476498,18.199971109755495,12.183838983292276
train,60,720575940618112310,internal,0.6661931818181818,0.8321766743584621,0.10410329111208676,0.5932241901755333,0.7115747814482831,1.1907142323699402
train,61,720575940612347571,internal,1.0,6.467136973684484,0.1673561492131896,5.180296961058918,8.088745722872146,6.126892322175046
train,62,720575940626378242,internal,1.0,5.057446947744624,0.1215738475969456,5.154926734092908,5.711698366733308,4.306130550009139
train,63,720575940631526215,internal,1.0,20.63967338441448,0.3944462364606762,14.173029276040884,30.493889463708754,17.224583778990077
train,64,720575940640541091,internal,0.984375,6.9239239662420005,0.055369504269599856,6.281554624565646,8.029429030228169,6.458054757371862
train,65,720575940624706062,internal,1.0,5.364094174848023,0.3519927609715633,4.2755598441148415,7.615218686042948,4.196871933404435
train,66,720575940610161091,internal,1.0,7.330384487836537,0.08124480220448321,6.689708296050373,8.672480755917569,6.626238129874493
train,67,720575940648633988,internal,1.0,7.153022235809741,0.18410991426913212,5.6204778180163135,8.966370698238942,6.865696725566337
train,68,720575940631603281,internal,1.0,10.82846286579628,0.3030546362896115,8.254589814406176,14.452626118761428,9.767220012938722
train,69,720575940633772452,internal,1.0,9.107515019449322,0.3567548780220888,6.425330754019257,12.879387612038471,8.006413142224575
train,70,720575940621500865,internal,1.0,5.502451875247061,0.10771891588722145,5.124048232013344,6.505288575050678,4.876408590408082
train,71,720575940640314190,internal,0.8963068181818182,2.9404598611449315,0.06828852619961705,2.2784915490028186,3.05248155917259,3.487589588824739
train,72,720575940623137997,internal,1.0,11.056768233295191,0.3208564682623297,8.13929274958423,15.215603382029432,9.802993778979525
train,73,720575940660217729,internal,0.7457386363636364,0.9983698987026318,0.13733095201599183,0.578459344111765,0.9680342591823415,1.4468292393899977
train,74,720575940632007983,internal,0.953125,5.293262426148761,0.156376359473301,5.251985642645094,6.803714322790187,3.823911667123754
train,75,720575940622338742,internal,1.0,8.98510541783815,0.23739794015252252,6.84455518437247,11.497695299919615,8.603957044824641
train,76,720575940615708482,internal,1.0,7.400210920763626,0.22814573129893317,5.6412343255475035,9.668408418208994,6.883505011746224
train,77,720575940626342174,internal,1.0,6.388953341425142,0.16083350849435415,5.008343162699642,7.69085817742855,6.461783747216488
train,78,720575940616908177,internal,1.0,8.034596166298302,0.26334255395522976,6.193445569429642,10.738891989119509,7.163616256954822
train,79,720575940623792648,internal,1.0,8.809312041340904,0.38632677117779346,5.833029262021056,12.719899684824842,7.862342144073324
train,80,720575940614326162,internal,1.0,17.892876745751973,0.38281650481424506,12.344990444998455,26.570703693146402,14.73932807229935
train,81,720575940606385440,internal,0.6605113636363636,0.7583188336046244,0.051553314430396444,0.8440216123484648,0.8965248128201099,0.534774768320804
train,82,720575940624879911,internal,1.0,10.36175066452812,0.4172778537367952,6.629194135339851,14.963119717861744,9.477054921109625
train,83,720575940631538028,internal,1.0,15.425588537684895,0.36159405109496584,10.941660296203743,22.131543467907196,13.184481303235318
train,84,720575940628573519,internal,1.0,9.862846927632662,0.31189670190671764,7.981562810066419,13.547474171252961,8.051498337248539
train,85,720575940604352172,internal,1.0,6.2748514032414695,0.359874691259606,4.230138432775807,8.94322133774453,5.642493532946769
train,86,720575940618458513,internal,1.0,9.861616159535266,0.38304875776923847,6.827623610822563,14.44607836946528,8.29823589172769
train,87,720575940614756589,internal,0.9573863636363636,4.660857318244367,0.12577955842953067,4.833199539755145,5.684115115568993,3.465990670564327
train,88,720575940630340474,internal,0.43607954545454547,0.5188059503191405,0.18105151029955271,0.1304537092263882,1.0305328466473742,0.3937787323556048
train,89,720575940649154681,internal,1.0,6.743420830292797,0.30013643745993884,5.498719965290819,9.41176040324759,5.31448552291444
train,90,720575940621776161,output,0.7840909090909091,5.316748880558986,0.4400558649750271,8.522873270205963,6.2888024441739345,1.1522140098061968
train,91,720575940617629270,output,0.8181818181818182,3.872150015043603,0.5063991971543991,1.4325167786361825,3.680290338714072,6.493261509753288
train,92,720575940625431870,output,1.0,11.64826254374136,0.31128538173565656,10.75761319633223,15.73721578070458,8.446168656964252
train,93,720575940632698797,output,0.875,7.30759874466722,0.5022565074152403,1.6011146941882932,13.38499334416491,6.912405284795355
train,94,720575940629111814,output,1.0,5.5878191928442735,0.5523057891766735,1.0323089964560463,10.03544953528871,5.6763138970162
train,95,720575940618615360,output,0.9488636363636364,6.8517858017109,0.0233466759773427,6.705522035941099,6.391176145190888,7.458036824997436
train,96,720575940619071005,output,0.9446022727272727,4.464164917378432,0.527766851476959,0.5765637665604934,8.413333691434657,4.386054310519644
train,97,720575940609890315,output,0.8877840909090909,3.8889208459295332,0.45328812539220176,6.4092814066471195,4.038202259007921,1.2300038106898044
train,98,720575940626675837,output,0.8181818181818182,5.434068112284876,0.5156717466454149,0.32419659359714925,9.95292824075577,6.003335368379633
train,99,720575940635934143,output,0.7400568181818182,2.310172956013544,0.6149797342155939,1.0742822146823263,1.2584843780132051,4.592493165807521
validation,0,720575940634545890,input,1.0,5.228096673617491,0.16794915299093224,5.092865858078003,6.560053260958925,4.034130714377579
validation,1,720575940609282825,input,1.0,6.358352980098209,0.06327509900261642,6.725749120712281,6.948684242306923,5.3931276968547275
validation,2,720575940605758142,input,1.0,7.1706263004122555,0.4394930796155813,4.931522693634033,10.474470479147774,6.151581720430023
validation,3,720575940633294796,input,0.8445945945945946,2.7327111665461516,0.027872435476895357,2.9283813858032226,2.345657168602457,2.920101675452018
validation,4,720575940640803200,input,0.8243243243243243,2.1779492863428755,0.017575255543857388,2.431346848011017,1.9589217487646609,2.1384078834433944
validation,5,720575940630407388,input,1.0,7.338053652563611,0.08083065083759323,6.84906587600708,8.809514308462338,6.365560115600119
validation,6,720575940632403986,input,0.8986486486486487,2.806180813425296,0.058265365947269054,2.3535651326179505,2.665962599978155,3.4082517623901367
validation,7,720575940621551854,input,1.0,11.87512198654381,0.4485183485074234,8.335296592712403,17.382575930381307,9.979734771105708
validation,8,720575940623146701,input,1.0,15.478198507347622,0.4808605614950386,10.433783340454102,23.71921260989442,12.384546819998294
validation,9,720575940623636701,input,1.0,6.997638047144219,0.43615190296028405,4.608825397491455,10.677698300809276,5.75514172169627
validation,10,720575940632835688,internal,0.972972972972973,7.413729666858106,0.11224808577426691,6.623841319084168,9.550630962362094,6.082836889490789
validation,11,720575940637136752,internal,1.0,10.714501827955246,0.45047384723904366,7.686875448226929,15.53178224758226,8.986636081520391
validation,12,720575940631907159,internal,1.0,9.160192231874209,0.33211313958704725,6.881670236587524,12.851148011733075,7.794258896185427
validation,13,720575940613804259,internal,1.0,8.418859360185829,0.3978275915759819,5.826506471633911,11.998825199750005,7.4841515701644274
validation,14,720575940616758322,internal,1.0,9.522181805726644,0.44559498878974857,6.821580018997192,13.913975812950913,7.8861039074099795
validation,15,720575940646576436,internal,0.8378378378378378,2.175914767324119,0.1279273161429737,1.9499322631955147,1.605981133422073,2.9764427931941286
validation,16,720575940628059978,internal,0.831081081081081,1.528312035911792,0.002611862030855967,1.490375548005104,1.4771686792373657,1.6181660945318184
validation,17,720575940624435128,internal,0.8513513513513513,2.615835712165446,0.006107031539770761,2.5405554819107055,2.4895391208784923,2.8189488649368286
validation,18,720575940614956072,internal,1.0,8.202124997570708,0.4257567974904705,5.7005379772186275,12.144943762798698,6.8119460490285135
validation,19,720575940623650823,internal,0.8378378378378378,1.517845113132451,0.20128127187910513,1.5917891991138458,0.9721399290221078,1.9880971482821874
validation,20,720575940623955637,internal,1.0,7.262460073909244,0.24111941666437348,6.69496250629425,9.088189329419817,6.015809969026215
validation,21,720575940660217985,internal,1.0,6.344691591891083,0.24606644066122121,5.896061048507691,8.025082850942807,5.122086601597922
validation,22,720575940605883569,internal,1.0,6.003380528172931,0.057574525825442646,6.156574549674988,6.670390820016666,5.180049806225057
validation,23,720575940608345778,internal,1.0,9.165350019126326,0.4567160671286497,6.314090194702149,13.645619295081314,7.594529543604169
validation,24,720575940626115134,internal,1.0,7.544647892584672,0.34381605964303075,5.779977722167969,10.16126232731099,6.728717305222336
validation,25,720575940612637554,internal,0.8513513513513513,3.2450937564308577,0.007013808320025286,3.3815446281433106,2.9997027942112515,3.3512491352704106
validation,26,720575940637623780,internal,0.6148648648648649,0.8349057652458951,0.15472540439739704,0.7982780539989471,0.46648148949048956,1.2407052565594108
validation,27,720575940625584484,internal,1.0,8.994535993482616,0.3290924940080469,7.0749400806427,12.507832488235163,7.440010838362635
validation,28,720575940617299131,internal,1.0,9.554449626722851,0.30097499854823645,7.584531278610229,13.040283748081752,8.078736268744176
validation,29,720575940621585279,internal,1.0,5.965538291915043,0.23421208092772397,4.535663475990296,7.7897006784166605,5.600431840030515
